학교명,우편번호,주소,위도,경도,구
서울시립대학교,,서울 동대문구 서울시립대로 163,37.5825775765293,127.059988126984,동대문구
서울여자간호대학교,,서울특별시 서대문구 간호대로 38,37.5975698953603,126.947757373796,서대문구
서울여자대학교,,서울특별시 노원구 화랑로 621,37.6287826577056,127.088991508939,노원구
서일대학교,,서울특별시 중랑구 용마산로 90길 28,37.5860827979004,127.097203310115,중랑구
성공회대학교,,서울특별시 구로구 연동로 320,37.4875235978289,126.826163535057,구로구
성균관대학교,,서울특별시 종로구 성균관로 25-2,37.5872284082508,126.993115116294,종로구
성신여자대학교,,서울특별시 성북구 보문로 34다길 2,37.5916524767249,127.02214561649,성북구
세종대학교,,서울특별시 광진구 능동로 209,37.5516081379459,127.073183188315,광진구
숙명여자대학교,,서울특별시 용산구 청파로47길 100,37.5454740835781,126.965074376341,용산구
숭실대학교,,서울특별시 동작구 상도로 369,37.4964289688636,126.955157917408,동작구
숭의여자대학교,,서울특별시 중구 소파로2길 10,37.5578530747432,126.987481605528,중구
연세대학교,,서울특별시 서대문구 연세로 50,37.5638064365127,126.942930940634,서대문구
이화여자대학교,,서울특별시 서대문구 이화여대길 52,37.5644645178259,126.950288837762,서대문구
인덕대학교,,서울 노원구 초안산로 12,37.6303438661503,127.054499915273,노원구
장로회신학대학교,,서울 광진구 광장로 5길 25-1,37.5500805843162,127.104753995651,광진구
적십자간호대학,,서울 종로구 경교장길8,37.5674160717181,126.966305052144,종로구
중앙대학교 서울캠퍼스,,서울 동작구 흑석로 84,37.5047267237807,126.953833907628,동작구
총신대학교,,서울특별시 동작구 사당로 143,37.4879290070931,126.966763108256,동작구
추계예술대학교,,서울특별시 서대문구 북아현로 11가길 7,37.5631767195176,126.954059321222,서대문구
한국방송통신대학교,,서울특별시 종로구 대학로 86,37.5791954862382,127.003290880975,종로구
한국성서대학교,,서울특별시 노원구 동일로 214길 32,37.6489617715837,127.063750963519,노원구
한국예술종합학교,,서울특별시 성북구 화랑로32길 146-37,37.6063581128476,127.053940846723,성북구
한국외국어대학교,,서울 동대문구 이문로 107,37.5982966771548,127.057942413722,동대문구
한국체육대학교,,서울특별시 송파구 양재대로 1239,37.5199046323075,127.132000539547,송파구
한국폴리텍 I 대학 서울강서캠퍼스,,서울특별시 강서구 우장산로 10길 112,37.5492424830708,126.842445128444,강서구
한국폴리텍Ⅰ대학 서울정수캠퍼스,,서울 용산구 보광로 73,37.5299749717494,126.996816950671,용산구
한성대학교,,서울특별시 성북구 삼선교로 16길 116,37.5832358514072,127.010390004805,성북구
한양대학교,,서울특별시 성동구 왕십리로 222 ,37.5545035492027,127.046611216789,성동구
한양여자대학교,,서울특별시 성동구 살곶이길 200,37.5579175887117,127.049321897316,성동구
한영신학대학교,,서울 구로구 경인로 290-42 ,37.496566109927,126.851250463602,구로구
홍익대학교,,서울특별시 마포구 와우산로 94,37.5525192523979,126.924990619497,마포구
가톨릭대학교,,서울 서초구 반포동 505,37.5000795911196,127.005246798552,서초구
 가톨릭대학교 성신교정,,서울특별시 종로구 창경궁로 296-12,37.5849009775207,127.004770664086,종로구
감리교신학대학교,,서울특별시 서대문구 독립문로 56(냉천동),37.5679167646618,126.961892367623,서대문구
건국대학교,,서울시 광진구 능동로 120,37.539182674872,127.074711902268,광진구
경기대학교,,서울 서대문구 경기대로9길 24,37.5651946923921,126.962224150341,서대문구
경희대학교,,서울특별시 동대문구 경희대로 26,37.5939491407769,127.054890960564,동대문구
고려대학교,,서울특별시 성북구 안암로 145,37.5887034223667,127.031698331241,성북구
광운대학교,,서울특별시 노원구 월계동 447-1,37.6197033224113,127.059670655809,노원구
국민대학교,,서울특별시 성북구 정릉로 77,37.6102878430906,126.998520644814,성북구
국제예술대학,,서울 강남구 논현동 79,37.5169057779708,127.031003951379,강남구
그리스도대학교,,서울특별시 강서구 까치산로 24길 47,37.5486853052598,126.854156524867,강서구
덕성여자대학교,,서울특별시 도봉구 삼양로 144길 33,37.6495090772702,127.016395230087,도봉구
동국대학교,,서울특별시 중구 필동로 1길30,37.5589366401553,126.998737605491,중구
동덕여자대학교,,서울특별시 성북구 화랑로13길 60,37.6068148327539,127.041176301847,성북구
동양미래대학교,,서울특별시 구로구 경인로 445,37.4999957879198,126.868169656727,구로구
디지털서울문화예술대학교,,서울시 서대문구 통일로 37길 60,37.5854437357557,126.943879163212,서대문구
명지대학교 인문캠퍼스,,서울 서대문구 남가좌동 50-3,37.5802275436823,126.923120664028,서대문구
명지전문대학,,서울 서대문구 가좌로 134,37.5853653010621,126.925689858552,서대문구
배화여자대학교,,서울 종로구 필운대로 1길 34 ,37.5795440101952,126.967291871532,종로구
백석예술대학교,,서울 서초구 방배로9길 23 ,37.4803713866046,126.996896954333,서초구
사이버한국외국어대학교,,서울특별시 동대문구 이문로 107,37.5982966771548,127.057942413722,동대문구
삼육대학교,,서울특별시 노원구 화랑로 815,37.643357369067,127.108850343184,노원구
삼육보건대학교,,서울특별시 동대문구 망우로 82,37.5862119387672,127.06355328121,동대문구
상명대학교,,서울특별시 종로구 홍지문2길 20,37.604108905882,126.955159496571,종로구
서강대학교,,서울특별시 마포구 백범로 35,37.5514693075541,126.943024997981,마포구
서경대학교,,서울특별시 성북구 서경로 124,37.6154147804327,127.013565764354,성북구
서울과학기술대학교,,서울특별시 노원구 공릉로 232,37.6330789279387,127.076794742851,노원구
서울교육대학교,,서울특별시 서초구 서초중앙로 96,37.4907404857731,127.015424537648,서초구
서울기독대학교,,서울 은평구 갈현로 4길 26-2호,37.6011252013344,126.91306361612,은평구
서울대학교,,서울특별시 관악구 관악로 1,37.468038057989,126.959294337648,관악구
서울디지털대학교,,서울 마포구 도화동 560번지,37.5429684534296,126.947855469473,마포구
서울사이버대학교,,서울특별시 강북구 솔매로49길 60,37.629843917766,127.027123065417,강북구
