학교명,우편번호,주소
서울시립대학교,,서울 동대문구 서울시립대로 163
서울여자간호대학교,,서울특별시 서대문구 간호대로 38
서울여자대학교,,서울특별시 노원구 화랑로 621
서일대학교,,서울특별시 중랑구 용마산로 90길 28
성공회대학교,,서울특별시 구로구 연동로 320
성균관대학교,,서울특별시 종로구 성균관로 25-2
성신여자대학교,,서울특별시 성북구 보문로 34다길 2
세종대학교,,서울특별시 광진구 능동로 209
숙명여자대학교,,서울특별시 용산구 청파로47길 100
숭실대학교,,서울특별시 동작구 상도로 369
숭의여자대학교,,서울특별시 중구 소파로2길 10
연세대학교,,서울특별시 서대문구 연세로 50
이화여자대학교,,서울특별시 서대문구 이화여대길 52
인덕대학교,,서울 노원구 초안산로 12
장로회신학대학교,,서울 광진구 광장로 5길 25-1
적십자간호대학,,서울 종로구 경교장길8
중앙대학교 서울캠퍼스,,서울 동작구 흑석로 84
총신대학교,,서울특별시 동작구 사당로 143
추계예술대학교,,서울특별시 서대문구 북아현로 11가길 7
한국방송통신대학교,,서울특별시 종로구 대학로 86
한국성서대학교,,서울특별시 노원구 동일로 214길 32
한국예술종합학교,,서울특별시 성북구 화랑로32길 146-37
한국외국어대학교,,서울 동대문구 이문로 107
한국체육대학교,,서울특별시 송파구 양재대로 1239
한국폴리텍 I 대학 서울강서캠퍼스,,서울특별시 강서구 우장산로 10길 112
한국폴리텍Ⅰ대학 서울정수캠퍼스,,서울 용산구 보광로 73
한성대학교,,서울특별시 성북구 삼선교로 16길 116
한양대학교,,서울특별시 성동구 왕십리로 222 
한양여자대학교,,서울특별시 성동구 살곶이길 200
한영신학대학교,,서울 구로구 경인로 290-42 
홍익대학교,,서울특별시 마포구 와우산로 94
가톨릭대학교,,서울 서초구 반포동 505
 가톨릭대학교 성신교정,,서울특별시 종로구 창경궁로 296-12
감리교신학대학교,,서울특별시 서대문구 독립문로 56(냉천동)
건국대학교,,서울시 광진구 능동로 120
경기대학교,,서울 서대문구 경기대로9길 24
경희대학교,,서울특별시 동대문구 경희대로 26
고려대학교,,서울특별시 성북구 안암로 145
광운대학교,,서울특별시 노원구 월계동 447-1
국민대학교,,서울특별시 성북구 정릉로 77
국제예술대학,,서울 강남구 논현동 79
그리스도대학교,,서울특별시 강서구 까치산로 24길 47
덕성여자대학교,,서울특별시 도봉구 삼양로 144길 33
동국대학교,,서울특별시 중구 필동로 1길30
동덕여자대학교,,서울특별시 성북구 화랑로13길 60
동양미래대학교,,서울특별시 구로구 경인로 445
디지털서울문화예술대학교,,서울시 서대문구 통일로 37길 60
명지대학교 인문캠퍼스,,서울 서대문구 남가좌동 50-3
명지전문대학,,서울 서대문구 가좌로 134
배화여자대학교,,서울 종로구 필운대로 1길 34 
백석예술대학교,,서울 서초구 방배로9길 23 
사이버한국외국어대학교,,서울특별시 동대문구 이문로 107
삼육대학교,,서울특별시 노원구 화랑로 815
삼육보건대학교,,서울특별시 동대문구 망우로 82
상명대학교,,서울특별시 종로구 홍지문2길 20
서강대학교,,서울특별시 마포구 백범로 35
서경대학교,,서울특별시 성북구 서경로 124
서울과학기술대학교,,서울특별시 노원구 공릉로 232
서울교육대학교,,서울특별시 서초구 서초중앙로 96
서울기독대학교,,서울 은평구 갈현로 4길 26-2호
서울대학교,,서울특별시 관악구 관악로 1
서울디지털대학교,,서울 마포구 도화동 560번지
서울사이버대학교,,서울특별시 강북구 솔매로49길 60
